0.00429234;0.00445691
0.000688037;0.000585259
0.000354117;0.000233274
0.000378546;0.000226465
0.000541144;0.000258022
0.000683315;0.000296732
0.000835946;0.000362
0.001126857;0.000507304
0.001629081;0.000731311
0.002344193;0.001099709
0.00333689;0.001603396
0.005621155;0.002878593
0.007906372;0.004213869
0.012638721;0.007251831
0.020965738;0.012799284
0.036540721;0.024157182
0.058262986;0.04020862
0.093570564;0.070818338
0.139411131;0.110655869
0.195994515;0.167572212
0.19786605;0.203902277
0.527677361;0.436230707
